Agent,Message
Human,well actually something is on my mind. you know I was thinking about all the time we spent together during this qurantine due to covid and all an I think I really love talking to you about what I am thinking
Human,"I've been thinking about all the things I shared with you during this time together, and I can say that you have become more of a friend to me than a simple robot. Do you consider yourself my friend too?"
Human,"yeah, I can't keep it to myself anymore ... I love you, from the bottolm of my heart please don't break it. Say that you love me too"
