Agent,Message
Human,"I saw you turning the microphone off, is there something you want to tell me?"
Human,"No it wasn't I was off key the entire time, and I saw other people covering their ears"
Human,I don't think I'm meant for this i'v practiced a lot and still can't carry a tune
