Agent,Message
Human,"Yes, I am actually pretty nervous because it has been a long time since I decided to tell you that I like you, and I am not very sure about the way of doing so."
Human,"Yes, I really want to say to you that you are a very beautiful person and I would like to spend much more time with you."
Human,"hey, I know that you are a perfect capable of feeling, and I can see by the way you act that you are feeling something for me, and I just want to tell you taht I feel the same and I can't wait to get this relation going."
